t_unity_shifted,x_unity,y_unity,z_unity,qx_unity,qy_unity,qz_unity,qw_unity
-0.003678952473958,0.001939222,1.146193,0.01076883,0.01197885,-0.01520057,-0.006076993,0.9997943
0.009870852213542,0.001940835,1.146206,0.01071733,0.01203515,-0.0152383,-0.006049068,0.9997932
0.024107302408854,0.001940275,1.146233,0.01067248,0.01196802,-0.01524027,-0.006007909,0.9997942
0.038046206217448,0.001908226,1.146242,0.01062885,0.01179941,-0.01536499,-0.005950242,0.9997946
0.051603640299479,0.001860445,1.146273,0.01059958,0.01153421,-0.01541732,-0.006126715,0.9997959
0.065832461100261,0.001828646,1.146324,0.01057225,0.01117716,-0.01540266,-0.006195678,0.9997997
0.079824770670573,0.001834538,1.1464,0.01054621,0.01086618,-0.01541634,-0.006156049,0.9998032
0.093702639322917,0.001846073,1.14647,0.01052435,0.01056193,-0.01540203,-0.006197502,0.9998065
0.107282961588542,0.001852557,1.146535,0.01051558,0.01029965,-0.01539104,-0.006214835,0.9998092
0.121473635416667,0.0018447,1.146554,0.01052845,0.01007114,-0.01527085,-0.006219439,0.9998134
0.135458315592448,0.001834109,1.146561,0.01055789,0.009955227,-0.01515807,-0.00628877,0.9998158
0.149008120279948,0.001836678,1.146555,0.01058309,0.009863103,-0.01506854,-0.006379868,0.9998174
0.163221682291667,0.001852257,1.146554,0.01059641,0.009905966,-0.01494831,-0.006426505,0.9998186
0.177145327311198,0.001868594,1.146535,0.01061638,0.009994673,-0.01486657,-0.006374312,0.9998192
0.190748537760417,0.001881236,1.146484,0.01064324,0.01018552,-0.01477405,-0.006271078,0.9998193
0.205000246744792,0.001897009,1.146403,0.01072163,0.01061919,-0.0146849,-0.006185398,0.9998167
0.219015444498698,0.001910063,1.146318,0.01079714,0.01098582,-0.01467684,-0.006162332,0.999813
0.232771242838542,0.001913359,1.146243,0.0108506,0.01140882,-0.01459422,-0.006152604,0.9998095
0.246328676920573,0.001910977,1.146174,0.01090277,0.0118442,-0.01459123,-0.006157442,0.9998044
0.260610903483073,0.001909072,1.146116,0.01096283,0.01217861,-0.01467512,-0.006046216,0.9997999
0.274580324869792,0.001886558,1.146041,0.01101766,0.01251723,-0.0147981,-0.005998052,0.9997942
0.288130129557292,0.001850424,1.145965,0.01106998,0.01285324,-0.01494121,-0.005935561,0.9997882
0.302366579752604,0.001822805,1.145898,0.0111255,0.01317799,-0.01498929,-0.005955445,0.999783
0.316267336588542,0.001820751,1.145837,0.01118521,0.01345443,-0.01505699,-0.006001127,0.9997782
0.329870547037761,0.001842905,1.145799,0.01124138,0.01374737,-0.01513004,-0.006109844,0.9997724
