t_opti,x_opti,y_opti,z_opti,qx_opti,qy_opti,qz_opti,qw_opti
0.625,0.129725,-0.723546,-0.049911,0.01966,0.131673,-0.027886,-0.990706
0.633333,0.129754,-0.723934,-0.050197,0.01852,0.13187,-0.0278,-0.990704
0.641667,0.129799,-0.724328,-0.050497,0.017024,0.13189,-0.027618,-0.990733
0.65,0.129855,-0.724693,-0.050707,0.014465,0.131261,-0.026892,-0.990878
0.658333,0.12991,-0.725141,-0.051113,0.014309,0.13198,-0.027226,-0.990775
0.666667,0.129984,-0.725535,-0.051418,0.012263,0.131815,-0.026872,-0.990834
0.675,0.13003,-0.725994,-0.051757,0.010805,0.131955,-0.026846,-0.990833
0.683333,0.130106,-0.726442,-0.052035,0.008323,0.13144,-0.02641,-0.990937
0.691667,0.130171,-0.726925,-0.05235,0.006309,0.131216,-0.026129,-0.990989
0.7,0.130233,-0.727431,-0.05272,0.004574,0.131374,-0.02604,-0.99098
0.708333,0.130311,-0.727936,-0.053064,0.002534,0.131189,-0.02575,-0.99102
0.716667,0.130383,-0.728455,-0.053467,0.000886,0.131445,-0.025801,-0.990987
0.725,0.13047,-0.729006,-0.053818,-0.001368,0.13127,-0.025503,-0.991018
0.733333,0.130567,-0.729568,-0.054221,-0.003316,0.131269,-0.025327,-0.991018
0.741667,0.13066,-0.730161,-0.054584,-0.005672,0.131031,-0.025097,-0.991044
0.75,0.130753,-0.730776,-0.055017,-0.007845,0.131126,-0.025042,-0.991018
0.758333,0.130855,-0.731403,-0.055419,-0.010296,0.130943,-0.024789,-0.991027
0.766667,0.130961,-0.732019,-0.055841,-0.012358,0.130773,-0.02473,-0.991027
0.775,0.131079,-0.73264,-0.056295,-0.014927,0.130687,-0.024471,-0.991009
0.783333,0.131198,-0.733284,-0.05671,-0.017435,0.130346,-0.024292,-0.991018
0.791667,0.131317,-0.73395,-0.057186,-0.019622,0.130264,-0.0241,-0.990992
0.8,0.131442,-0.734621,-0.057646,-0.022178,0.130039,-0.023906,-0.990972
0.808333,0.131588,-0.735286,-0.058101,-0.024959,0.129583,-0.023522,-0.990975
0.816667,0.131704,-0.735993,-0.058601,-0.02728,0.129413,-0.023372,-0.99094
0.825,0.131843,-0.73672,-0.059123,-0.029938,0.129236,-0.023182,-0.990891
0.833333,0.131978,-0.737463,-0.059646,-0.032751,0.129036,-0.022986,-0.990832
0.841667,0.132113,-0.738197,-0.060153,-0.035195,0.128583,-0.022745,-0.990813
0.85,0.132272,-0.739009,-0.060633,-0.039598,0.128614,-0.021642,-0.990668
0.858333,0.132437,-0.739736,-0.061202,-0.04258,0.128239,-0.021353,-0.990599
0.866667,0.132596,-0.740524,-0.061748,-0.04513,0.127727,-0.021197,-0.990555
0.875,0.132736,-0.741277,-0.062349,-0.047898,0.127456,-0.02103,-0.990464
0.883333,0.132939,-0.742079,-0.062917,-0.051035,0.126781,-0.020845,-0.990398
0.891667,0.133097,-0.742862,-0.063531,-0.054205,0.126408,-0.020471,-0.990285
0.9,0.13327,-0.743649,-0.064173,-0.057422,0.125996,-0.020048,-0.990165
0.908333,0.133442,-0.744454,-0.06484,-0.060488,0.125709,-0.01983,-0.990023
0.916667,0.133621,-0.745264,-0.06549,-0.063969,0.125127,-0.019457,-0.989885
0.925,0.133808,-0.746107,-0.066165,-0.067438,0.124737,-0.019036,-0.989712
0.933333,0.133978,-0.746953,-0.066876,-0.070582,0.124389,-0.01886,-0.98954
0.941667,0.134149,-0.747807,-0.067589,-0.07396,0.124053,-0.018636,-0.98934
0.95,0.134327,-0.748669,-0.068311,-0.077391,0.123604,-0.018375,-0.989139
0.958333,0.13451,-0.749546,-0.069057,-0.081094,0.123143,-0.018181,-0.988903
0.966667,0.134694,-0.750412,-0.069823,-0.084495,0.122823,-0.017917,-0.988663
0.975,0.134887,-0.751259,-0.07058,-0.088036,0.122443,-0.017586,-0.988407
0.983333,0.135081,-0.752105,-0.07136,-0.09152,0.121935,-0.017299,-0.988158
0.991667,0.135283,-0.752925,-0.072171,-0.094793,0.12159,-0.017153,-0.987895
1,0.13548,-0.75375,-0.072961,-0.098368,0.121168,-0.016918,-0.987601
1.008333,0.135676,-0.754585,-0.073786,-0.101745,0.120884,-0.016727,-0.987297
1.016667,0.135888,-0.755393,-0.074617,-0.105116,0.12056,-0.016513,-0.986987
1.025,0.136092,-0.756171,-0.075455,-0.108418,0.120256,-0.016219,-0.986672
1.033333,0.136305,-0.757005,-0.076251,-0.11227,0.12009,-0.015669,-0.98627
1.041667,0.136516,-0.757765,-0.077097,-0.115608,0.119635,-0.01544,-0.985943
1.05,0.136721,-0.758518,-0.077952,-0.118658,0.119305,-0.015239,-0.985624
1.058333,0.13693,-0.759257,-0.078796,-0.122159,0.118925,-0.01487,-0.985248
1.066667,0.137145,-0.760003,-0.079674,-0.125325,0.118509,-0.014711,-0.984903
1.075,0.13724,-0.760868,-0.080395,-0.130228,0.117136,-0.015184,-0.984423
1.083333,0.137444,-0.761604,-0.081285,-0.133457,0.11676,-0.015111,-0.984037
1.091667,0.137725,-0.762284,-0.082251,-0.136306,0.116404,-0.014685,-0.983694
1.1,0.137895,-0.763021,-0.083083,-0.139892,0.115787,-0.014667,-0.983264
1.108333,0.138069,-0.763717,-0.084012,-0.142874,0.115914,-0.01457,-0.982822
1.116667,0.138231,-0.764457,-0.084867,-0.146656,0.115319,-0.014637,-0.982334
1.125,0.138453,-0.765112,-0.085802,-0.14956,0.115126,-0.014188,-0.981925
1.133333,0.138696,-0.765835,-0.086747,-0.152894,0.114624,-0.013755,-0.981476
1.141667,0.138858,-0.766593,-0.087639,-0.156664,0.114137,-0.013621,-0.98094
1.15,0.139038,-0.767366,-0.088565,-0.160359,0.113778,-0.013507,-0.980386
1.158333,0.139222,-0.768178,-0.089484,-0.162993,0.113289,-0.013647,-0.980006
1.166667,0.139405,-0.768938,-0.090463,-0.166699,0.112868,-0.013465,-0.979434
1.175,0.139615,-0.769649,-0.091478,-0.17102,0.112792,-0.013031,-0.978703
1.183333,0.139809,-0.770384,-0.092472,-0.17451,0.11242,-0.012806,-0.978133
1.191667,0.139985,-0.771115,-0.093445,-0.178089,0.112025,-0.012546,-0.977536
1.2,0.140176,-0.771818,-0.094442,-0.181597,0.111644,-0.012292,-0.976938
1.208333,0.140315,-0.772559,-0.095424,-0.1849,0.11123,-0.011992,-0.976369
1.216667,0.140495,-0.773265,-0.096445,-0.18836,0.110867,-0.011616,-0.975753
1.225,0.140675,-0.773976,-0.097462,-0.191865,0.110584,-0.011205,-0.975107
1.233333,0.140816,-0.774685,-0.098486,-0.195525,0.110225,-0.010988,-0.974423
1.241667,0.140973,-0.775372,-0.099516,-0.19911,0.109994,-0.010585,-0.973727
1.25,0.141112,-0.776039,-0.100538,-0.202608,0.109761,-0.010364,-0.973034
1.258333,0.141252,-0.776689,-0.101559,-0.205919,0.109603,-0.010033,-0.97236
1.266667,0.141383,-0.777301,-0.102571,-0.209221,0.109303,-0.009845,-0.971691
1.275,0.141529,-0.777904,-0.103587,-0.212408,0.109161,-0.009522,-0.971018
1.283333,0.141677,-0.778472,-0.104605,-0.215467,0.108923,-0.008999,-0.970376
1.291667,0.141804,-0.779059,-0.105603,-0.21851,0.108723,-0.008927,-0.969718
1.3,0.141948,-0.779593,-0.106578,-0.2216,0.108518,-0.008507,-0.969043
1.308333,0.14203,-0.780158,-0.107587,-0.224584,0.108406,-0.008169,-0.968371
1.316667,0.142141,-0.780703,-0.108567,-0.227365,0.108244,-0.007822,-0.967743
1.325,0.142233,-0.781204,-0.109528,-0.230315,0.108115,-0.00727,-0.967064
1.333333,0.142331,-0.781746,-0.110516,-0.23346,0.108032,-0.007064,-0.966321
1.341667,0.142407,-0.782238,-0.11147,-0.236274,0.108078,-0.006641,-0.965634
1.35,0.142469,-0.782717,-0.112441,-0.239057,0.107937,-0.006282,-0.964967
1.358333,0.142492,-0.783175,-0.113364,-0.241733,0.108094,-0.005644,-0.964287
1.366667,0.142537,-0.78365,-0.11431,-0.244465,0.108215,-0.005235,-0.963586
1.375,0.142586,-0.784119,-0.11526,-0.247211,0.108178,-0.004921,-0.962891
1.383333,0.142634,-0.784598,-0.116211,-0.249814,0.108239,-0.00465,-0.962214
1.391667,0.142688,-0.785083,-0.117167,-0.252844,0.108253,-0.004339,-0.961422
1.4,0.142714,-0.785592,-0.11815,-0.255726,0.108424,-0.003977,-0.960642
1.408333,0.142773,-0.786041,-0.1191,-0.258377,0.108266,-0.003635,-0.959951
1.416667,0.142808,-0.786522,-0.120059,-0.261281,0.108378,-0.003207,-0.959154
1.425,0.14285,-0.786999,-0.121026,-0.264029,0.108335,-0.002888,-0.958407
1.433333,0.142877,-0.787476,-0.122001,-0.266878,0.108374,-0.002435,-0.957614
1.441667,0.142904,-0.787965,-0.122978,-0.269713,0.1084,-0.0021,-0.956818
1.45,0.142928,-0.788438,-0.123933,-0.272712,0.108524,-0.00163,-0.955954
1.458333,0.142953,-0.788891,-0.124909,-0.275606,0.108312,-0.001119,-0.955149
1.466667,0.142989,-0.78937,-0.125895,-0.278342,0.108376,-0.000507,-0.954348
1.475,0.143023,-0.789832,-0.126909,-0.281449,0.108248,-0.000159,-0.953451
1.483333,0.143061,-0.790316,-0.127906,-0.284392,0.108319,0.000238,-0.952569
1.491667,0.143107,-0.790772,-0.128919,-0.28747,0.10822,0.000771,-0.951656
1.5,0.143099,-0.791268,-0.12997,-0.291053,0.108241,0.001662,-0.950563
1.508333,0.143144,-0.791682,-0.13098,-0.293841,0.108156,0.001861,-0.949714
1.516667,0.143207,-0.792106,-0.131989,-0.296621,0.108171,0.002135,-0.948847
1.525,0.143263,-0.792532,-0.133025,-0.299606,0.107947,0.002283,-0.947934
1.533333,0.143319,-0.792961,-0.134049,-0.302515,0.107996,0.002666,-0.947003
1.541667,0.143386,-0.793361,-0.135066,-0.305437,0.107887,0.002795,-0.946077
1.55,0.143549,-0.793881,-0.136011,-0.308715,0.10946,0.004125,-0.944826
1.558333,0.143618,-0.794292,-0.137032,-0.311609,0.109512,0.004317,-0.943869
1.566667,0.143672,-0.79473,-0.138068,-0.31457,0.109467,0.004688,-0.94289
1.575,0.143389,-0.794934,-0.139266,-0.317996,0.105705,0.001965,-0.942179
1.583333,0.143452,-0.795458,-0.140311,-0.321764,0.105483,0.003187,-0.94092
1.591667,0.143504,-0.79576,-0.141387,-0.323871,0.105414,0.002627,-0.940207
1.6,0.14356,-0.796141,-0.142434,-0.326761,0.10523,0.002756,-0.939227
