638423093710260790,638423057710260870,2024,1,31,13,49,31,26,0.3390859,1.576114,-0.02438226,-0.02130612,-0.02126685,-0.008234761,0.9995129
638423093710437070,638423057710437140,2024,1,31,13,49,31,43,0.3389969,1.576107,-0.0243179,-0.02122837,-0.02127439,-0.008266007,0.9995142
638423093710579160,638423057710579230,2024,1,31,13,49,31,57,0.339008,1.576138,-0.02438096,-0.02139623,-0.02128384,-0.008126137,0.9995115
638423093710768610,638423057710768700,2024,1,31,13,49,31,76,0.3390346,1.576152,-0.02439715,-0.02138529,-0.02132306,-0.008239563,0.9995099
638423093710947550,638423057710947650,2024,1,31,13,49,31,94,0.3390169,1.576056,-0.024304,-0.02129154,-0.02123163,-0.008265663,0.9995137
638423093711145100,638423057711145190,2024,1,31,13,49,31,114,0.3389789,1.575976,-0.02424822,-0.0212444,-0.02126084,-0.008172386,0.9995149
638423093711307040,638423057711307130,2024,1,31,13,49,31,130,0.3389689,1.576004,-0.02427867,-0.02123342,-0.02129343,-0.008158164,0.9995145
638423093711472310,638423057711472400,2024,1,31,13,49,31,147,0.3390557,1.576053,-0.02434366,-0.0214025,-0.02131808,-0.008223297,0.9995099
638423093711644250,638423057711644340,2024,1,31,13,49,31,164,0.3391148,1.576052,-0.02438101,-0.02138684,-0.02120311,-0.008305507,0.999512
638423093711812410,638423057711812500,2024,1,31,13,49,31,181,0.3391152,1.576025,-0.02433385,-0.02130107,-0.02131029,-0.008210925,0.9995123
638423093711980070,638423057711980150,2024,1,31,13,49,31,198,0.3390837,1.576009,-0.02432285,-0.02124123,-0.02129835,-0.00819274,0.9995139
638423093712139430,638423057712139520,2024,1,31,13,49,31,213,0.3390786,1.576008,-0.02436115,-0.02128641,-0.02128438,-0.008228841,0.999513
638423093712296720,638423057712296810,2024,1,31,13,49,31,229,0.3390698,1.576017,-0.02437306,-0.02132354,-0.02130347,-0.00819695,0.999512
638423093712446390,638423057712446500,2024,1,31,13,49,31,244,0.3390698,1.576005,-0.02436406,-0.0213298,-0.0212802,-0.008206088,0.9995123
638423093712600850,638423057712600940,2024,1,31,13,49,31,260,0.3391004,1.575983,-0.02436677,-0.02127913,-0.02128247,-0.008209586,0.9995133
638423093712750950,638423057712751040,2024,1,31,13,49,31,275,0.3391194,1.57598,-0.02438812,-0.02133644,-0.02129372,-0.008245805,0.9995116
638423093712897360,638423057712897450,2024,1,31,13,49,31,289,0.3390989,1.57599,-0.02439335,-0.02135956,-0.02125776,-0.008258572,0.9995117
638423093713040700,638423057713040820,2024,1,31,13,49,31,304,0.3390725,1.57597,-0.02437043,-0.02133315,-0.02126997,-0.008188384,0.9995126
638423093713195340,638423057713195450,2024,1,31,13,49,31,319,0.339043,1.575921,-0.02433763,-0.02126362,-0.02129033,-0.008189186,0.9995137
638423093713333750,638423057713333840,2024,1,31,13,49,31,333,0.3390508,1.575922,-0.02429217,-0.02125494,-0.02127077,-0.008157474,0.9995145
638423093713472270,638423057713472340,2024,1,31,13,49,31,347,0.3390746,1.575935,-0.02429774,-0.02129245,-0.02132302,-0.008197064,0.9995123
638423093713613030,638423057713613150,2024,1,31,13,49,31,361,0.3390991,1.57595,-0.02434063,-0.02135065,-0.02125023,-0.008290833,0.9995118
638423093713759960,638423057713760050,2024,1,31,13,49,31,376,0.339118,1.575952,-0.02433665,-0.02137607,-0.02128087,-0.008189373,0.9995114
638423093713901690,638423057713901780,2024,1,31,13,49,31,390,0.3391196,1.575917,-0.02428578,-0.02133243,-0.0213025,-0.008258361,0.9995114
638423093714039540,638423057714039630,2024,1,31,13,49,31,403,0.3391066,1.575889,-0.02426481,-0.02127708,-0.02126166,-0.008281309,0.9995133
638423093714183390,638423057714183480,2024,1,31,13,49,31,418,0.3390905,1.575891,-0.02428279,-0.02126734,-0.02125692,-0.008206304,0.9995141
638423093714324780,638423057714324870,2024,1,31,13,49,31,432,0.3390595,1.575912,-0.02431875,-0.02130058,-0.02130665,-0.008194416,0.9995124
638423093714461560,638423057714461650,2024,1,31,13,49,31,446,0.3390504,1.575915,-0.02433715,-0.02132471,-0.02131109,-0.008192973,0.9995119
638423093714603810,638423057714603900,2024,1,31,13,49,31,460,0.3390996,1.575911,-0.02434173,-0.02134284,-0.02129073,-0.008217007,0.9995118
638423093714744250,638423057714744340,2024,1,31,13,49,31,474,0.3391511,1.575899,-0.02433656,-0.02135173,-0.02128741,-0.008281278,0.9995111
638423093714882380,638423057714882470,2024,1,31,13,49,31,488,0.3391591,1.575892,-0.02433488,-0.02131756,-0.02127078,-0.008290345,0.9995121
638423093715016850,638423057715016940,2024,1,31,13,49,31,501,0.339126,1.575894,-0.02433306,-0.02133055,-0.02127434,-0.008258885,0.999512
638423093715159530,638423057715159620,2024,1,31,13,49,31,515,0.3390756,1.575879,-0.02434878,-0.02131066,-0.02133715,-0.008216504,0.9995115
638423093715300090,638423057715300170,2024,1,31,13,49,31,530,0.3390539,1.575872,-0.02435947,-0.02129025,-0.02129187,-0.008183878,0.9995131
638423093715435040,638423057715435120,2024,1,31,13,49,31,543,0.3390727,1.575866,-0.02436783,-0.02134492,-0.02131771,-0.008189623,0.9995114
638423093715577150,638423057715577240,2024,1,31,13,49,31,557,0.3391108,1.575867,-0.02438101,-0.02134476,-0.02125016,-0.008289572,0.999512
638423093715717630,638423057715717720,2024,1,31,13,49,31,571,0.3391733,1.575882,-0.02436254,-0.02133961,-0.02130329,-0.008254874,0.9995112
